gender,email,phone,cell,nat,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,login.uuid,login.username,login.password,login.salt,login.md5,login.sha1,login.sha256,dob.date,dob.age,registered.date,registered.age,id.name,id.value,picture.large,picture.medium,picture.thumbnail
female,alma.steffen@example.com,0784-4632002,0179-0214998,DE,Mrs,Alma,Steffen,5642,Mittelweg,Rheinau,Baden-Württemberg,Germany,21547,-53.3170,165.2236,-6:00,"Central Time (US & Canada), Mexico City",0d939ab0-2c3c-403a-bb36-1b0e7be76a54,happycat754,caster,VoVclO9R,a39294e264214cc106b4fdbaf4afd6f6,84a13ad32ae6a56135f4b38dae3fee5777c92f94,ad73762bf654fc5a921ac3370d0264c1c5f9318b13da09a4005047faffe8a2b3,1945-11-03T22:32:22.785Z,79,2020-01-12T09:42:21.405Z,5,SVNR,29 031145 S 507,https://randomuser.me/api/portraits/women/42.jpg,https://randomuser.me/api/portraits/med/women/42.jpg,https://randomuser.me/api/portraits/thumb/women/42.jpg
female,saana.walli@example.com,07-052-916,043-343-41-44,FI,Mrs,Saana,Walli,266,Esplanadi,Halsua,Päijät-Häme,Finland,65379,-75.4401,-153.3805,+2:00,"Kaliningrad, South Africa",3e1326ef-e50c-45ad-b780-11a9cd428391,beautifulzebra925,superman,U3rjGmJf,2607e82fc6ba9ce50e3b89bcbe03c4eb,b7bc7df717e4a410807b88f553e084c5cfaeb9c2,fa6375cec91c85e3f5a81337e2a3bfbbd31dbeaaa46d87c36a50c37f8dd0d18e,1976-07-01T12:16:31.606Z,49,2014-06-06T15:50:16.481Z,11,HETU,NaNNA322undefined,https://randomuser.me/api/portraits/women/25.jpg,https://randomuser.me/api/portraits/med/women/25.jpg,https://randomuser.me/api/portraits/thumb/women/25.jpg
female,mira.abdalla@example.com,27639819,45834557,NO,Miss,Mira,Abdalla,643,Bomveien,Malme,Oppland,Norway,4682,66.9387,-158.1564,+1:00,"Brussels, Copenhagen, Madrid, Paris",fe894b19-4e2a-4567-9617-6443beb01711,smallrabbit942,recon,7uX6kbuG,bc5c1fdd38ac8a3387d667789197a218,1e4f2d4b894350ded288a120e6820f1701e7841c,59a39060ab6405bc40e8404f2a76745ad2dd4c2ca4a4fa860b658de2fd1735ee,1993-08-13T12:00:43.629Z,31,2002-04-22T00:36:22.719Z,23,FN,13089317813,https://randomuser.me/api/portraits/women/57.jpg,https://randomuser.me/api/portraits/med/women/57.jpg,https://randomuser.me/api/portraits/thumb/women/57.jpg
male,kalpit.shah@example.com,9246097036,9608944540,IN,Mr,Kalpit,Shah,9143,Lindsay St,Siliguri,Gujarat,India,69342,-0.3113,13.6788,+6:00,"Almaty, Dhaka, Colombo",3f5ce205-8bdc-4ed0-91ba-5fd1f78e5799,blackswan516,ghost,MQy57tR4,ea3719531d99272a2e5820f1ffe6c0e0,7c637f9cf2ca24db51fe498c8220612c25baef9a,cc55daf2bda0bd7539a6083c835596777a02648ccefef55fcb82d4067d45eb76,1980-10-21T20:11:27.720Z,44,2012-12-22T00:31:47.342Z,12,UIDAI,968806803344,https://randomuser.me/api/portraits/men/10.jpg,https://randomuser.me/api/portraits/med/men/10.jpg,https://randomuser.me/api/portraits/thumb/men/10.jpg
male,gustavo.lemus@example.com,(671) 951 2390,(628) 190 4441,MX,Mr,Gustavo,Lemus,6321,Continuación Jamaica,Garza González,Colima,Mexico,79953,40.9552,50.4130,+7:00,"Bangkok, Hanoi, Jakarta",8808dce7-d5a9-4b6e-b5be-62d7a81b37a1,silvergoose813,brenda,R64g6I3X,6380d451e7b4bc5c352bd03dfefba0c1,82febb8e7f80544dc967a8f904adb226c232cf29,7902750c33e0192e5142f36f63ef4704603faf126cfcf914fabe59f59af4f0b2,1980-11-26T08:02:08.864Z,44,2013-07-19T09:02:21.668Z,11,NSS,78 96 96 5110 0,https://randomuser.me/api/portraits/men/61.jpg,https://randomuser.me/api/portraits/med/men/61.jpg,https://randomuser.me/api/portraits/thumb/men/61.jpg
male,oliver.niva@example.com,05-245-693,041-161-81-23,FI,Mr,Oliver,Niva,8486,Rotuaari,Luhanka,North Karelia,Finland,95753,75.2907,81.7815,+9:00,"Tokyo, Seoul, Osaka, Sapporo, Yakutsk",059f91df-7787-40ea-ad0a-d05577a667da,blackleopard191,funk,nMLkfQqn,b8743802f6c49bc6a7472434c26b5d2a,d74e423400aeab2768f03dbb2b34d125f253b9ac,d8354d43fd09fe3d95f2c690c83a2c50650853bf1ffb2f05b21d11e5370cc9cf,1949-06-29T15:58:47.597Z,76,2016-08-31T23:24:21.615Z,8,HETU,NaNNA875undefined,https://randomuser.me/api/portraits/men/61.jpg,https://randomuser.me/api/portraits/med/men/61.jpg,https://randomuser.me/api/portraits/thumb/men/61.jpg
male,joar.bue@example.com,81743644,41736002,NO,Mr,Joar,Bue,2252,Akersbakken,Kroksund,Description,Norway,5680,-7.3900,-67.7376,+11:00,"Magadan, Solomon Islands, New Caledonia",4cbee1e8-ec2c-45ca-89c3-f9244f13c2e1,sadpanda288,closeup,g107yM9j,efbfb76df0bc0b4ce642ea523beeae8f,6fdd9e3265209bbef4ff9fe3d4e2553df5f803fa,384fecb6bd4da4eda5787da6723bbb4ff58f98c8d6ea49336ec5ffb85abd159c,1972-12-08T20:49:10.094Z,52,2022-05-21T00:54:17.518Z,3,FN,08127217506,https://randomuser.me/api/portraits/men/5.jpg,https://randomuser.me/api/portraits/med/men/5.jpg,https://randomuser.me/api/portraits/thumb/men/5.jpg
female,mya.lemoine@example.com,03-84-07-57-04,06-87-06-88-63,FR,Mrs,Mya,Lemoine,1695,Rue Paul Bert,Fort-de-France,Puy-de-Dôme,France,34927,-8.3892,-27.8574,-3:30,Newfoundland,71cef9e9-8320-4056-baed-b75f39921b43,yellowswan606,nothing,v3N1ABQ7,0ad888ef3c6a39b9221f4285c1e9ccc9,8a5ee943f2b5e16415bac63a71430d2e2d3f2608,0b05cbfc74f70e71c6c61511b8f14139877094ec37acc7357963431026a6a889,1960-05-08T21:35:49.330Z,65,2016-11-20T17:46:19.337Z,8,INSEE,2600407757403 09,https://randomuser.me/api/portraits/women/42.jpg,https://randomuser.me/api/portraits/med/women/42.jpg,https://randomuser.me/api/portraits/thumb/women/42.jpg
female,madeleine.chen@example.com,(603)-532-9262,(656)-419-5643,NZ,Ms,Madeleine,Chen,2758,Cavendish Drive,Nelson,Auckland,New Zealand,50707,-22.6060,-122.9203,+4:30,Kabul,811b9746-8af5-412a-bd13-5ec8b061f306,redbird937,nono,yI0j2mPV,806952c803f10db5dda2d0b341614630,91d3a737d608fa9566f10ad106bc656a8cbea722,50cfb1ff971f4ea3610e945abfbb1d5b5d7d8718c099838e4058e7685d093d1f,1964-03-20T07:51:54.070Z,61,2007-02-05T15:49:55.859Z,18,,,https://randomuser.me/api/portraits/women/79.jpg,https://randomuser.me/api/portraits/med/women/79.jpg,https://randomuser.me/api/portraits/thumb/women/79.jpg
female,ana.ballesteros@example.com,(663) 540 3673,(609) 744 7427,MX,Ms,Ana,Ballesteros,1198,Circunvalación Beltrán,Baca,Estado de Mexico,Mexico,75446,-54.4864,-179.6552,+4:30,Kabul,1dff69f2-3bb3-47f0-a1b6-5a6712b69103,bluegorilla350,ramirez,PnJEGb8J,13e8c23dbb8902d338461176d28fe2a9,74f2c5739f07cb6f1ff80289e1c6df82a8610a94,a944d753cad92c76e0b5b4980810cfcdf9235c8b314bff57610e0dd2c8b50c06,1997-04-27T09:28:48.731Z,28,2010-03-06T13:54:50.606Z,15,NSS,07 63 33 6494 9,https://randomuser.me/api/portraits/women/32.jpg,https://randomuser.me/api/portraits/med/women/32.jpg,https://randomuser.me/api/portraits/thumb/women/32.jpg
male,bogdan.vasic@example.com,014-1003-030,060-3516-069,RS,Mr,Bogdan,Vasić,9776,Koretinska,Bor,Raška,Serbia,55689,26.3885,40.6760,+2:00,"Kaliningrad, South Africa",6bc9842f-5c45-4ead-a6af-afd94b67d71c,whitepeacock747,gertrude,Ct6K5bOP,151666cc8ccb6a45a63606c8cf31a07c,4d4e0086b8b267f7f129a78b09912ec8d07a4307,b220077fab9e2ddde4f873c01bf59071a9856fd2a36c692e3fa7b4e32b76d5e4,1959-04-10T14:03:04.207Z,66,2019-07-24T20:27:12.309Z,5,SID,383491867,https://randomuser.me/api/portraits/men/99.jpg,https://randomuser.me/api/portraits/med/men/99.jpg,https://randomuser.me/api/portraits/thumb/men/99.jpg
